price,short_description,color,image_source,general_description,size,material,manufacturer_location,manufacturer_name,manufacturer_address,manufacturer_num_workers,brand
$29.99,Cotton Poplin Blouse,White,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F31%2F6c%2F316c17e3a69d42c457ea8dc71e0f9dbd6dceeb4b.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Blouse in cotton poplin. Round neckline, small opening at back of neck with button, smocking at front and back, and gathered seam at waist. Long puff sleeves, voluminous at top with smocked section at cuffs.",,CompositionCotton 100%,India,CTA APPARELS PVT LTD,"D-235, Sector 63,, 201309, Noida",1501-2000,H&M
$29.99,Oversized Corduroy Shirt,Mint green,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F00%2F89%2F00896aec233df619d39eca5252269c73c43bd154.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Oversized shirt in cotton corduroy. Collar, covered buttons at front, and large, open chest pockets. Dropped shoulders, long, wide sleeves, and covered button at cuffs. Rounded hem.",FitOversized,CompositionCotton 100%,China,GOLD STAR FASHION LIMITED,"South of Shuguang Road, Wenshang City, 272000, Jining",101-500,H&M
$19.99,Balloon-sleeved Shirt,Black,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F92%2F50%2F92502d401fbb67c8125e99f90c5d9f94a752c982.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Shirt in woven viscose fabric with a collar, buttons at front, and yoke at back. Long balloon sleeves with buttons at cuffs. Rounded hem, slightly longer at back.",,CompositionViscose 100%,Myanmar (Burma),"S CHEER HK CO.,LIMITED","70A/71A Corner of Mingyi Mahar Min, Gaung Street and Phan Chet Wun U, Shwe Oh Street Hlaing Tharyar Indus, 2635, Yangon",501-1000,H&M
$19.99,Oversized Cotton Shirt,Gray/white striped,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fd3%2F6d%2Fd36d83c494b7b126e7a581d32dd965913d17d3fb.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Oversized shirt in airy, woven cotton fabric. Collar, buttons at front, and yoke at back. Open chest pocket, dropped shoulders, and long sleeves with button at cuffs. Rounded hem, slightly longer at back.",FitOversized,CompositionCotton 100%,Indonesia,PT.SARI WARNA ASLI TEXTILE INDUSTRY,"Jl. HOS Cokroaminoto No.28,, RT 02 RW 03 Kel. Pucangsawit, Kec., Jebres, Surakarta Jawa Tengah , In, 57125, Surakarta",2001-2500,H&M
$34.99,Ruffle-trimmed Blouse,Pastel pink/plaid,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fb4%2Ff7%2Fb4f729972d66f53ca4289f1d177330715e636feb.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Blouse in woven fabric with glittery threads. Collar, yoke at front, and shoulder seams, all with ruffle trim. Buttons at front and long sleeves with sleeve placket and buttons at cuffs.",,"CompositionCotton 60%, Metallized fiber 39%, Viscose 1%",China,YUNHAN INTERNATIONAL (HK) LIMITED,"Chuangye Road,Yuxing Industry Zone, Yu an District, 231400, Lu an",101-500,H&M
$29.99,Cotton Poplin Blouse,Mint green,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F2c%2F76%2F2c76242052d90c5b5fd427b2925514c3bbe040af.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Blouse in cotton poplin. Round neckline, small opening at back of neck with button, smocking at front and back, and gathered seam at waist. Long puff sleeves, voluminous at top with smocked section at cuffs.",,CompositionCotton 100%,India,CTA APPARELS PVT LTD,"D-235, Sector 63,, 201309, Noida",1501-2000,H&M
$29.99,Corduroy Shirt,Light pink,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F77%2F80%2F778069310ca54886e355a6ea91439006c5b05e7b.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Oversized shirt in soft, narrow-wale cotton corduroy. Collar, covered buttons at front, and open chest pockets. Dropped shoulders and long sleeves with button at cuffs. Gently rounded hem, slightly longer at back.",FitOversized,CompositionCotton 100%,Bangladesh,NEWAGE APPARELS LIMITED,"Nischintapur, Purbo Narsinghapur, Zirabo, Ashulia, Savar, 1341, Dhaka",5001-5500,H&M
$29.99,Pleated-layer Shirt,Black,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fd5%2F29%2Fd529a574fc11cd1c55672b1dce76fb038cd8c689.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Shirt in woven fabric. Pleated layer at top with overlocked edge. Collar, buttons at front, and long sleeves with buttons at cuffs.",,CompositionPolyester 100%,Indonesia,PT.SARI WARNA ASLI TEXTILE INDUSTRY,"Jl. HOS Cokroaminoto No.28,, RT 02 RW 03 Kel. Pucangsawit, Kec., Jebres, Surakarta Jawa Tengah , In, 57125, Surakarta",2001-2500,H&M
$17.99,Cotton Poplin Shirt,White/gray striped,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fa2%2Fe9%2Fa2e99dfccbba4357436dbee65f54d727a8823f79.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_shirts%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Straight-cut shirt in soft cotton poplin with a collar and buttons at front. Gently dropped shoulders, long sleeves with button at cuffs, and rounded hem.",,CompositionCotton 100%,Bangladesh,DRESSMEN GARMENTS LTD.,"PALLAIRANI, SAVAR - TANGAIL, CONNECTING ROAD, BHATARIA, SHAHBAJPUR, KALIAKAIR, 1750, GAZIPUR",2501-3000,H&M
$29.99,Cropped Puff-sleeved Blouse,Apricot/patterned,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F20%2F18%2F201862c2ca1c5ff43463a2aeec3105b6730d570a.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_blouses%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Cropped blouse in an airy, woven viscose and cotton blend. Wrapover front with concealed snap fastener, short puff sleeves, and smocked cuffs and hem with ruffle trim.",,"CompositionViscose 55%, Cotton 45%",India,SUPER OVERSEAS PVT LTD,"B-16, Phase-II, Extn., PHASE-II EXTENSION, 201305, NOIDA",1001-1500,H&M
$29.99,Organza Tie-neck Blouse,Black,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fbb%2Fb3%2Fbbb301de218dbc037e2b855f42953f9e4aff2027.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_blouses%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Straight-cut blouse in airy organza with a dotted flock print. Stand-up collar with long, wide ties. Small opening at back of neck with a hook-and-eye fastener. Voluminous, 3/4-length puff sleeves and flounced cuffs with narrow elastic.",,"CompositionPolyamide 53%, Polyester 47%",China,"ZHEJIANG TONGLI CLOTHING CO.,LTD","No. 90, Zengshan Road, Xicheng Industrial Zone, 322100, Dongyang",1501-2000,H&M
$19.99,Short Smocked Blouse,Pink/floral,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fca%2Fce%2Fcace2eef5ab34311236047509690a4b2e4164e1b.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Cropped blouse in airy, woven fabric with a smocked bodice and square, ruffle-trimmed neckline. Concealed elastic over shoulders, long, wide sleeves, and smocked, ruffle-trimmed cuffs.",,CompositionPolyester 100%,China,YUNHAN INTERNATIONAL (HK) LIMITED,"North of the PuZhuang Road, Mashe Village Xukou Town, Wuzhong Distruct Suzhou City, 215150, Suzhou",101-500,H&M
$29.99,Tie-front Blouse,Black/floral,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F7f%2Fe3%2F7fe31d4a12446eaacd5c3f76025de9fa951d4992.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Blouse in woven fabric. Collar with ties, buttons at front, and yoke at back with box pleat. Long puff sleeves with a slit and button at cuffs. Rounded hem. Polyester content is partly recycled.",,CompositionPolyester 100%,Indonesia,NOBLAND INTERNATIONAL INC,"Jl. Soekarno Hatta Km. 30 ,, Randugunting Bergas Semarang, 50552, Kabupaten Semarang",1001-1500,H&M
$29.99,Cotton Poplin Blouse,Black,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fb9%2Fc8%2Fb9c890cd47fcf291534b9c37a5d42bbe685ddc11.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Blouse in cotton poplin. Round neckline, small opening at back of neck with button, smocking at front and back, and gathered seam at waist. Long puff sleeves, voluminous at top with smocked section at cuffs.",,CompositionCotton 100%,India,CTA APPARELS PVT LTD,"D-235, Sector 63,, 201309, Noida",1501-2000,H&M
$14.99,Cotton Shirt,Light blue/white striped,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fb7%2Fc8%2Fb7c83735f6e2f907e635e856cc819013a621ffdf.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_shirts%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Shirt in airy cotton fabric with a collar, buttons at front, and long sleeves with button at cuffs. Rounded hem.",,CompositionCotton 100%,Bangladesh,DRESSMEN GARMENTS LTD.,"PALLAIRANI, SAVAR - TANGAIL, CONNECTING ROAD, BHATARIA, SHAHBAJPUR, KALIAKAIR, 1750, GAZIPUR",2501-3000,H&M
$24.99,Puff-sleeved Peplum Blouse,Black,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F12%2F1c%2F121cc75c0dd80026757c10a06f37ae24830169f0.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_blouses%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Blouse in woven nylon with a slight sheen. Rounded neckline, low-cut open section at back with ties at back of neck and middle of back, and 3/4-length puff sleeves with narrow elastic and ruffle trim at cuffs. Seam at waist with flared peplum.",,CompositionPolyamide 100%,China,"ZHEJIANG TONGLI CLOTHING CO.,LTD","No. 90, Zengshan Road, Xicheng Industrial Zone, 322100, Dongyang",1501-2000,H&M
$29.99,Ruffle-collar Blouse,White,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fb2%2F76%2Fb276f0afc54dc841e28f052f078fd73ac090ec3c.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_blouses%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Blouse in woven cotton fabric with a large, ruffle-trimmed collar. Low-cut neckline, buttons at front, and long, voluminous puff sleeves with wide, close-fitting cuffs with button.",,CompositionCotton 100%,India,GOKALDAS EXPORTS LTD,"NH 206, HINDISKERE GATE, 572201, TIPTUR",501-1000,H&M
$19.99,Cotton Shirt,Mint green/black plaid,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F23%2Ffa%2F23faa08230d5e74b83213be3789be25466132c1d.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_shirts%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Straight-cut shirt in woven cotton fabric. Collar, buttons at front, open chest pocket, and yoke at back with pleat. Long sleeves with button at cuffs. Rounded hem, slightly longer at back.",,CompositionCotton 100%,Bangladesh,ABONI FASHIONS LTD.,"Plot # 23-24, Union # Tetulzhora,, Hemayetpur Savar, 1340, Dhaka.",3001-3500,H&M
$19.99,Resort Shirt,White,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F3c%2F7b%2F3c7b694a22d55e9fe32305039877334c4cda6c42.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Short-sleeved shirt in woven, crêped fabric. Resort collar and buttons at front. Polyester content is partly recycled.",,CompositionPolyester 100%,Indonesia,VISIONLAND CO LTD,"Jl. Mojo , Km 3 Bulu Desa Jaten,, Kecamatan Jaten, Kabupaten, Karanganyar, 57771, Kabupaten Karanganyar",501-1000,H&M
$29.99,Ruffle-collar Blouse,Light blue,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fd3%2Fdb%2Fd3db8ce5fedbe909e261fa6f515b1d74e5f24098.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_blouses%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Blouse in woven cotton fabric with a large, ruffle-trimmed collar. Low-cut neckline, buttons at front, and long, voluminous puff sleeves with wide, close-fitting cuffs with button.",,CompositionCotton 100%,India,GOKALDAS EXPORTS LTD,"NH 206, HINDISKERE GATE, 572201, TIPTUR",501-1000,H&M
$29.99,Ruffle-collar Blouse,Black,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F2b%2Fcb%2F2bcb1ff05b3d2aa029f84b294a0e4b9b8b134ff6.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_blouses%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Blouse in woven cotton fabric with a large, ruffle-trimmed collar. Low-cut neckline, buttons at front, and long, voluminous puff sleeves with wide, close-fitting cuffs with button.",,CompositionCotton 100%,India,GOKALDAS EXPORTS LTD,"NH 206, HINDISKERE GATE, 572201, TIPTUR",501-1000,H&M
$29.99,Cotton Flannel Shirt,Light pink/checked,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fd6%2Fcf%2Fd6cf481727e623043742ef7f030c7960a5640974.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Oversized shirt in soft cotton flannel. Collar, buttons at front, yoke at back, and open chest pockets. Dropped shoulders and long sleeves with button at cuffs. Gently rounded hem.",FitOversized,CompositionCotton 100%,Bangladesh,ABONI FASHIONS LTD.,"Plot # 23-24, Union # Tetulzhora,, Hemayetpur Savar, 1340, Dhaka.",3001-3500,H&M
$34.99,Lace-trimmed Blouse,White,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Ffd%2Fab%2Ffdaba19ed5553c148a11ccb67589fc4fc99ffe19.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Blouse in airy, woven viscose fabric with lace trim. Stand-up collar, opening at back of neck with covered buttons, and yoke at front with ruffled lace trim extending over shoulders. Long sleeves with narrow elastic and ruffled lace trim at cuffs.",,CompositionViscose 100%,Indonesia,PT.SARI WARNA ASLI TEXTILE INDUSTRY,"Jl. HOS Cokroaminoto No.28,, RT 02 RW 03 Kel. Pucangsawit, Kec., Jebres, Surakarta Jawa Tengah , In, 57125, Surakarta",2001-2500,H&M
$29.99,Wide-collared Shirt,Black,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fdd%2F75%2Fdd75b735909e7d2b908523830aee5cad4fff3320.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Shirt in woven cotton fabric. Ruffle-trimmed Peter Pan collar, buttons without placket, and long sleeves with a slit and button at cuffs. Gently rounded hem.",,CompositionCotton 100%,India,GOKALDAS EXPORTS LTD,"NH 206, HINDISKERE GATE, 572201, TIPTUR",501-1000,H&M
$19.99,Cotton Shirt,Pastel pink/black checked,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F4b%2Ffa%2F4bfa20453be887e84d4afccce9820c34823a2339.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_shirts%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Straight-cut shirt in woven cotton fabric. Collar, buttons at front, open chest pocket, and yoke at back with pleat. Long sleeves with button at cuffs. Rounded hem, slightly longer at back.",,CompositionCotton 100%,Bangladesh,ABONI FASHIONS LTD.,"Plot # 23-24, Union # Tetulzhora,, Hemayetpur Savar, 1340, Dhaka.",3001-3500,H&M
$29.99,Ruffled Cotton Shirt,White,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F84%2F2a%2F842adb097ea51145effcf60de9e55995f0dea637.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_shirts%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Shirt in woven cotton fabric with decorative ruffles. Collar, buttons at front, and long balloon sleeves with close-fitting cuffs with button.",,CompositionCotton 100%,India,GOKALDAS EXPORTS LTD,"NH 206, HINDISKERE GATE, 572201, TIPTUR",501-1000,H&M
$19.99,Cotton Shirt,Light purple/white plaid,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F7d%2F87%2F7d87c027986f37acc5a64917ad8aced967abf246.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_shirts%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Straight-cut shirt in woven cotton fabric. Collar, buttons at front, open chest pocket, and yoke at back with pleat. Long sleeves with button at cuffs. Rounded hem, slightly longer at back.",,CompositionCotton 100%,Bangladesh,ABONI FASHIONS LTD.,"Plot # 23-24, Union # Tetulzhora,, Hemayetpur Savar, 1340, Dhaka.",3001-3500,H&M
